eos,smiles,inchi,inchikey,formula,mw,hba,hbd,tpsa,rb,fp3,logp,violates_ro5,pubchem,chembl,zinc
EOS100001,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,"InChI=1S/C46H56N4O10.H2O4S/c1-7-42(55)22-28-23-45(40(53)58-5,36-30(14-18-48(24-28)25-42)29-12-9-10-13-33(29)47-36)32-20-31-34(21-35(32)57-4)50(26-51)38-44(31)16-19-49-17-11-15-43(8-2,37(44)49)39(60-27(3)52)46(38,56)41(54)59-6;1-5(2,3)4/h9-13,15,20-21,26,28,37-39,47,55-56H,7-8,14,16-19,22-25H2,1-6H3;(H2,1,2,3,4)/t28-,37-,38+,39+,42-,43+,44+,45-,46-;/m0./s1",AQTQHPDCURKLKT-PNYVAJAMSA-N,C46H58N4O14S,923.051025390625,18,5,245.77000427246094,8,0.5652173757553101,2.8647000789642334,1,CID5388992,,
EOS100002,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C23H36N2O2/c1-21(2,3)25-20(27)17-8-7-15-14-6-9-18-23(5,13-11-19(26)24-18)16(14)10-12-22(15,17)4/h11,13-18H,6-10,12H2,1-5H3,(H,24,26)(H,25,27)/t14-,15-,16-,17+,18+,22-,23+/m0/s1",DBEPLOCGEIEOCV-WSBQPABSSA-N,C23H36N2O2,372.5530090332031,4,2,58.20000076293945,1,0.8260869383811951,3.814500093460083,0,CID57363,CHEMBL710,ZINC000003782599
EOS100005,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2/t21-,22+,23-/m1/s1",OLNTVTPDXPETLC-XPWALMASSA-N,C24H21F2NO3,409.4320068359375,4,2,60.77000045776367,6,0.2083333283662796,4.888299942016602,0,CID150311,CHEMBL1138,ZINC000003810860
EOS100007,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,"InChI=1S/C14H18N2O/c1-9(2)13-12(14(17)10(3)4)11-7-5-6-8-16(11)15-13/h5-10H,1-4H3",ZJVFLBOZORBYFE-UHFFFAOYSA-N,C14H18N2O,230.31100463867188,3,0,34.369998931884766,3,0.4285714328289032,3.2964000701904297,0,CID3671,CHEMBL19449,ZINC000000004234
EOS100008,Cl.c1ccc2c(CC3=NCCN3)cccc2c1,"InChI=1S/C14H14N2.ClH/c1-2-7-13-11(4-1)5-3-6-12(13)10-14-15-8-9-16-14;/h1-7H,8-10H2,(H,15,16);1H",DJDFFEBSKJCGHC-UHFFFAOYSA-N,C14H15ClN2,246.74099731445312,2,1,24.389999389648438,2,0.2142857164144516,2.805799961090088,0,CID11079;43834266;43834388;657295,CHEMBL1706,
EOS100010,NC(=O)OCC(COC(N)=O)c1ccccc1,"InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)",WKGXYQFOCVYPAC-UHFFFAOYSA-N,C11H14N2O4,238.2429962158203,6,4,104.63999938964844,5,0.27272728085517883,0.9607999920845032,0,CID3331,CHEMBL1094,ZINC000001530803
EOS100011,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl,"InChI=1S/C23H30ClN3O.2ClH/c1-5-27(6-2)13-7-8-16(3)25-23-19-11-9-17(24)14-22(19)26-21-12-10-18(28-4)15-20(21)23;;/h9-12,14-16H,5-8,13H2,1-4H3,(H,25,26);2*1H",UDKVBVICMUEIKS-UHFFFAOYSA-N,C23H32Cl3N3O,472.88800048828125,4,1,37.38999938964844,9,0.43478259444236755,6.815999984741211,1,CID22527;6239;92031060,CHEMBL554190,
EOS100013,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,"InChI=1S/C24H28N2O3/c1-3-14-9-16-11-18(12-17(16)10-15(14)4-2)25-13-22(28)19-5-7-21(27)24-20(19)6-8-23(29)26-24/h5-10,18,22,25,27-28H,3-4,11-13H2,1-2H3,(H,26,29)/t22-/m0/s1",QZZUEBNBZAPZLX-QFIPXVFZSA-N,C24H28N2O3,392.4989929199219,5,4,85.3499984741211,6,0.375,3.148900032043457,0,CID6918554,CHEMBL1095777,ZINC000035801098
EOS100014,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,"InChI=1S/C9H11ClN4O2.ClH/c10-7-5(12-9(16)13-8(7)15)4-14-3-1-2-6(14)11;/h11H,1-4H2,(H2,12,13,15,16);1H",KGHYQYACJRXCAT-UHFFFAOYSA-N,C9H12Cl2N4O2,279.12701416015625,6,3,92.80999755859375,2,0.4444444477558136,0.7114700078964233,0,CID44306451;9903778,CHEMBL65375,
EOS100015,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O.Cl.O,"InChI=1S/C22H36N2O5S.ClH.H2O/c1-2-3-16-30(27,28)24-21(22(25)26)17-19-7-9-20(10-8-19)29-15-5-4-6-18-11-13-23-14-12-18;;/h7-10,18,21,23-24H,2-6,11-17H2,1H3,(H,25,26);1H;1H2/t21-;;/m0../s1",HWAAPJPFZPHHBC-FGJQBABTSA-N,C22H39ClN2O6S,495.0820007324219,8,5,136.22999572753906,14,0.6818181872367859,2.547600030899048,1,CID24883425;60946,CHEMBL3189072,
