Lipinski_ro5,Ghose,Veber,REOS,QED,Flag,SMILES,eos,Type
0,0,0,0,0,0,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,EOS100002,PassedAllFilters
0,0,0,0,0,0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,EOS100017,PassedAllFilters
0,0,0,0,0,0,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,EOS100018,PassedAllFilters
0,0,0,0,0,0,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,EOS100019,PassedAllFilters
0,0,0,0,0,0,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,EOS100150,PassedAllFilters
0,0,0,0,0,0,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,EOS100301,PassedAllFilters
0,0,0,0,0,0,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,EOS100327,PassedAllFilters
0,0,0,0,0,0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,EOS100345,PassedAllFilters
0,0,0,0,0,0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,EOS100354,PassedAllFilters
0,0,0,0,0,0,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,EOS100358,PassedAllFilters
0,0,0,0,0,0,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,EOS100368,PassedAllFilters
0,0,0,0,0,0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,EOS100374,PassedAllFilters
0,0,0,0,0,0,CNCCCC1c2ccccc2C=Cc2ccccc21,EOS100375,PassedAllFilters
0,0,0,0,0,0,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,EOS100379,PassedAllFilters
0,0,0,0,0,0,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,EOS100399,PassedAllFilters
0,0,0,0,0,0,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,EOS100564,PassedAllFilters
0,0,0,0,0,0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,EOS100573,PassedAllFilters
0,0,0,0,0,0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,EOS100585,PassedAllFilters
0,0,0,0,0,0,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,EOS100592,PassedAllFilters
0,0,0,0,0,0,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,EOS100596,PassedAllFilters
0,0,0,0,0,0,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,EOS100602,PassedAllFilters
0,0,0,0,0,0,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,EOS100629,PassedAllFilters
0,0,0,0,0,0,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,EOS100653,PassedAllFilters
0,0,0,0,0,0,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,EOS100659,PassedAllFilters
0,0,0,0,0,0,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,EOS100666,PassedAllFilters
0,0,0,0,0,0,C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,EOS100692,PassedAllFilters
0,0,0,0,0,0,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,EOS100696,PassedAllFilters
0,0,0,0,0,0,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,EOS100706,PassedAllFilters
